source,enriched_description
../training_data_raw/components_ant/alert.svg,"Size: 4.00e2.00, Colors: #fff1.00f0.00, #ff4.00d4.00f, Shapes: path, Elements: g, Strokes: #ff4.00d4.00f, Text: none."
../training_data_raw/components_ant/input-text-icon-hover.svg,"size: 320x32, 
colors: #fff, #1890.00ff, 
shapes: rectangle, path, 
elements: g, rect, path, 
strokes: #1890.00ff, 
text: none, 
keywords: input, text, icon, hover, rectangle, path, stroke, fill, colors, shapes, elements."
../training_data_raw/components_ant/checkbox-tick.svg,"Size: 16.00
Colors: #1890.00ff, #fff
Shapes: rectangle, path
Elements: checkbox, tick
Strokes: #1890.00ff
Text: none"
../training_data_raw/components_ant/btn-primary-icon-hover.svg,"Size: 129x32, Colors: #40a9ff, #fff, Shapes: rectangle, path, Elements: filter, defs, feFlood, feColorMatrix, feOffset, feGaussianBlur, feBlend, Strokes: none, Text: none."
../training_data_raw/components_ant/btn-dashed-hover-lg.svg,"Size: 120x40, Colors: #fff, #1890.00ff, Shapes: rectangle with rounded corners, Elements: filter, stroke-dasharray, stroke-linecap, Text: none."
../training_data_raw/components_ant/input-text.svg,"svg, viewBox, size, colors, shapes, elements, rect, rx, x, width, height, fill, stroke, text."
../training_data_raw/components_ant/input-text-prefix-focus-lg.svg,"size: 320x40, 
colors: #fff, #1890.00ff, 
shapes: rectangle, 
elements: filter, 
strokes: #1890.00ff, 
text: input-text-prefix-focus-lg."
../training_data_raw/components_ant/btn-dashed-nolabel-hover.svg,"Size: 32.00
Colors: #fff, #1890.00ff
Shapes: rect, path
Elements: filter, defs, g
Strokes: stroke, stroke-dasharray, stroke-linecap
Text: none
Keywords: svg, viewBox, filter, rect, path, stroke, stroke-dasharray, stroke-linecap."
../training_data_raw/components_ant/btn-primary-icon-hover-sm.svg,"Size: 129x24, Colors: #40a9ff, #fff, Shapes: rectangle, path, Elements: filter, defs, feFlood, feColorMatrix, feOffset, feGaussianBlur, feBlend, Strokes: none, Text: none."
../training_data_raw/components_ant/btn-tabs-hover.svg,"Size: 228x32, Colors: #fff, #dbdbdb, Shapes: rectangle, path, Elements: filter, defs, g, Strokes: #dbdbdb, Text: none."
../training_data_raw/components_ant/input-text-icons-sm.svg,"size: 320x24, 
colors: #fff, #dbdbdb, #bfbfbf, 
shapes: rectangle, path, 
elements: input text box, icons, 
strokes: yes, 
text: none."
../training_data_raw/components_ant/Group-200.svg,"size: 32.00, colors: #fff, #dbdbdb, shapes: rect, path, elements: filter, defs, g, strokes: #dbdbdb, text: none."
../training_data_raw/components_ant/radio-hover.svg,"Size: 16.00 x 16.00, Colors: #fff, #40.00a9.00ff, Shapes: rectangle with rounded corners, Elements: two groups with rectangles, Strokes: one stroke in #40.00a9.00ff, Text: none."
../training_data_raw/components_ant/btn-danger-hover-sm.svg,"Size: 120x24, Colors: red, Shapes: rectangle with rounded corners, Elements: filter, blend, stroke, Text: none."
../training_data_raw/components_ant/btn-dashed-hover.svg,"Size: 120x32, Colors: #fff, #1890.00ff, Shapes: rectangle with rounded corners, Elements: filter, stroke, Text: none."
../training_data_raw/components_ant/alert-text-close-now.svg,"Size: 400x100, Colors: #fff1.00f0.00, #ff4.00d4.00f, Shapes: rectangle, Elements: 2 groups, Strokes: 1, Text: none."
../training_data_raw/components_ant/btn-default-nolabel-sm.svg,"Size: 24.00
Colors: #fff, #dbdbdb
Shapes: rect, path
Elements: filter, defs, g
Strokes: #dbdbdb
Text: none
Keywords: small, white, gray, rounded rectangle, arrow, stroke, no label."
../training_data_raw/components_ant/input-text-icon-hover-sm.svg,"size: 320x24, colors: #fff, #1890.00ff, shapes: rectangle, path, elements: input text icon, strokes: #1890.00ff, text: none."
../training_data_raw/components_ant/btn-tabs-icon-hover.svg,"Size: 299x33
Colors: #fff, #dbdbdb, #1890.00ff
Shapes: rectangle, path
Elements: filter, defs
Strokes: #dbdbdb
Text: none
Keywords: svg, tabs, icon, hover, filter, rectangle, path, stroke, color, size."
../training_data_raw/components_ant/alert-icon.svg,"Size: 4.00e2.00, 40.00
Colors: #fff1.00f0.00, #ff4.00d4.00f
Shapes: rectangle, path
Elements: g, path
Strokes: #ff4.00d4.00f
Text: none
Keywords: alert-icon, viewBox, fill, stroke, path, rectangle, g."
../training_data_raw/components_ant/btn-danger-text-hover-sm.svg,"Size: 104x24, Colors: #fafafa, Shapes: rectangle with rounded corners, Elements: none, Strokes: none, Text: none."
../training_data_raw/components_ant/checkbox-disabled-checked.svg,"Size: 16.00
Colors: #fafafa, #dbdbdb, #bfbfbf
Shapes: rect, path
Elements: g
Strokes: #dbdbdb
Text: none
Keywords: checkbox, disabled, checked, svg, viewBox, rx, fill."
../training_data_raw/components_ant/input-text-icon-ph-sm.svg,"size, 320x24, rectangle, rounded corners, white fill, gray stroke, search icon, text input, placeholder, gray and black icon."
../training_data_raw/components_ant/btn-primary-hover-sm.svg,"Size: 120x24, Colors: #40a9ff, Shapes: rectangle with rounded corners, Elements: filter, flood, color matrix, offset, blur, blend, Strokes: none, Text: none."
../training_data_raw/components_ant/btn-danger-default-lg.svg,"Size: 120.00 x 40.00, Colors: #fff, #f5222.00d, Shapes: rectangle, Elements: filter, stroke, Text: none."
../training_data_raw/components_ant/btn-primary-nolabel-sq.svg,"Size: 32.00
Colors: #1890.00ff, #fff
Shapes: rect, path
Elements: filter, defs, g
Strokes: none
Text: none"
../training_data_raw/components_ant/checkbox-disabled-label.svg,"Size: 92.00 x 18.00, Colors: #fafafa, #dbdbdb, Shapes: rectangle, rounded corners, Elements: two rectangles, Strokes: one stroke, Text: none."
../training_data_raw/components_ant/checkbox-checked.svg,"Size: 16.00
Colors: #fff, #1890.00ff
Shapes: rect, path
Elements: g
Strokes: #1890.00ff
Text: none
Keywords: checkbox, checked, svg, viewBox, rect, path, fill, stroke, rx, width, height."
../training_data_raw/components_ant/btn-danger-lg.svg,"Size: lg, 120x40
Colors: danger, red
Shapes: rectangle, rounded corners
Elements: filter, svg
Strokes: none
Text: none"
../training_data_raw/components_ant/btn-primary-hover.svg,"Size: 120.00 x 32.00, Colors: #40.00a9.00ff, Shapes: Rectangular with rounded corners, Elements: SVG, Filter, FeFlood, FeColorMatrix, FeOffset, FeGaussianBlur, FeBlend, Strokes: None, Text: None."
../training_data_raw/components_ant/btn-primary-nolabel-sq-lg.svg,"rectangular, 40x40, blue, white, rounded corners, icon, arrow, no label, filter, blend."
../training_data_raw/components_ant/alert-icon-text-close-now.svg,"size: 400x100, 
colors: white, pink, 
shapes: rectangle, 
elements: path, g, 
strokes: pink, 
text: none, 
keywords: alert, icon, close, rectangle, path, g, pink stroke, white fill."
../training_data_raw/components_ant/checkbox-hover-checked.svg,"Size: 16.00
Colors: #fff, #40.00a9.00ff, #1890.00ff
Shapes: rect, path
Elements: g
Strokes: #40.00a9.00ff
Text: none"
../training_data_raw/components_ant/btn-dashed-lg.svg,"Size: 120.00 x 40.00, 
Colors: #fff, #dbdbdb, 
Shapes: rectangle, 
Elements: filter, 
Strokes: dashed, round linecap, 
Text: none."
../training_data_raw/components_ant/btn-danger-text-hover.svg,"Size: 104x32, Colors: #fafafa, Shapes: rectangle with rounded corners, Elements: one rectangle, Strokes: none, Text: none, Hover effect: changes color to red."
../training_data_raw/components_ant/alert-text-close.svg,"Size: 400x100, Colors: white, pink, Shapes: rectangle, circle, Elements: path, g, Text: none, Strokes: pink, red."
../training_data_raw/components_ant/tooltip-bottom-right.svg,"size: 166x68, colors: #262626, shapes: rect, path, elements: filter, viewBox, defs, strokes: none, text: none."
../training_data_raw/components_ant/btn-danger-hover.svg,"Size: 120.00 x 32.00, Colors: #ff4.00d4.00f, Shapes: Rectangular with rounded corners, Elements: Filter, Text: None, Strokes: None."
../training_data_raw/components_ant/input-text-prefix-focus.svg,"size, 320x32, colors, white, #1890ff, shapes, rectangle, rounded corners, elements, filter, svg, strokes, border, text, input prefix."
../training_data_raw/components_ant/tooltip-right-middle.svg,"Size: 170x63, Colors: #262626, Shapes: rectangle, path, Elements: filter, defs, rect, path, Strokes: none, Text: none."
../training_data_raw/components_ant/input-text-focus-lg.svg,"size: 320x40, 
colors: #fff, #1890.00ff, 
shapes: rectangle, 
elements: filter, 
strokes: #1890.00ff, 
text: none."
../training_data_raw/components_ant/btn-text.svg,"Size: 104.00 x 32.00, Colors: #b1.00b2.00b5.00, Shapes: Rectangular with rounded corners, Elements: SVG, Strokes: None, Text: None."
../training_data_raw/components_ant/btn-text-sm.svg,"Size: 104.00 x 24.00, Colors: #b1.00b2.00b5.00, Shapes: Rectangular with rounded corners, Elements: SVG, Strokes: None, Text: None."
../training_data_raw/components_ant/input-text-icon-disabled-ph.svg,"size, colors, shapes, elements, strokes, text, disabled, input, icon, placeholder."
../training_data_raw/components_ant/input-text-icons-hover-sm.svg,"size: 320x24, colors: #fff, #1890.00ff, #bfbfbf, shapes: rectangle, path, elements: input box, icons, strokes: yes, text: no."
../training_data_raw/components_ant/btn-primary-nolabel-hover-sm.svg,"Size: 24.00
Colors: #40.00a9.00ff, #fff
Shapes: rect, path
Elements: filter, defs, feFlood, feColorMatrix, feOffset, feGaussianBlur, feBlend
Strokes: none
Text: none"
../training_data_raw/components_ant/btn-text-hover-sm.svg,"Size: 104x24, Colors: #fafafa, Shapes: Rectangle with rounded corners, Elements: SVG, Strokes: None, Text: None."
../training_data_raw/components_ant/btn-actions.svg,"Size: 114.00 x 32.00, Colors: #fff, #dbdbdb, Shapes: rectangle, path, Elements: filter, defs, g, Strokes: #dbdbdb, Text: none."
../training_data_raw/components_ant/btn-default-lg.svg,"Size: 120x40, Colors: #fff, #dbdbdb, Shapes: rectangle with rounded corners, Elements: filter, stroke, Text: none."
../training_data_raw/components_ant/btn-default-nolabel-hover-sm.svg,"Size: 24.00
Colors: #fff, #1890.00ff
Shapes: rect, path
Elements: filter, defs, g
Strokes: #1890.00ff
Text: none
Keywords: button, default, no label, hover, small, rounded, white, blue, stroke, arrow."
../training_data_raw/components_ant/radio-disabled-checked-label.svg,"size: 66.10,18.00
colors: #fafafa, #dbdbdb, #bfbfbf
shapes: rect, rx
elements: g
strokes: #dbdbdb
text: none"
../training_data_raw/components_ant/btn-text-hover.svg,"Size: 104.00 x 32.00, Colors: #fafafa, Shapes: Rectangular with rounded corners, Elements: SVG, Strokes: None, Text: None, Hover effect: Filled rectangle with same dimensions and color."
../training_data_raw/components_ant/input-text-icon-disabled-ph-lg.svg,"size, colors, shapes, elements, strokes, text, disabled, placeholder, input field, icon."
../training_data_raw/components_ant/input-text-icons-disabled-sm.svg,"Size: 320x24, Colors: #fafafa, #dbdbdb, #bfbfbf, Shapes: rectangle, rounded rectangle, path, Elements: input box, icons, Strokes: none, Text: disabled."
../training_data_raw/components_ant/btn-dashed-icon-hover.svg,"size: 129x32, 
colors: #fff, #1890.00ff, 
shapes: rect, path, 
elements: filter, feFlood, feColorMatrix, feOffset, feGaussianBlur, feBlend, 
strokes: dashed, round, 
text: none, 
keywords: button, hover, dashed, icon, filter, stroke, fill, rectangle, path, color, size."
../training_data_raw/components_ant/btn-actions-dw.svg,"Size: 114x119, Colors: #fff, #dbdbdb, #1890ff, Shapes: rectangle, path, Elements: filters, strokes, Text: none."
../training_data_raw/components_ant/input-text-icon-focus-ph.svg,"size: 320x32, 
colors: white, #1890ff, #bfbfbf, 
shapes: rectangle, path, 
elements: filter, defs, rect, path, 
strokes: #1890ff, 
text: none."
../training_data_raw/components_ant/input-text-icons.svg,"size, 320x32, rectangle, rounded corners, white fill, gray stroke, input icon, text icon, magnifying glass, user icon, paths, fill, stroke, viewBox."
../training_data_raw/components_ant/checkbox-hover-label-checked.svg,"Size: 92.00,18.00
Colors: #fff, #40.00a9.00ff, #1890.00ff
Shapes: rect, path
Elements: g
Strokes: #40.00a9.00ff
Text: none"
../training_data_raw/components_ant/input-text-icon-focus-ph-lg.svg,"size, 320x40, rectangle, rounded corners, white fill, blue stroke, search icon, focus effect, text input, gray text."
../training_data_raw/components_ant/radio.svg,"radio, 16x16, white, rectangle, rounded corners, stroke, blue, no text."
../training_data_raw/components_ant/radio-hover-checked-label.svg,"size: 66.10,18.00
colors: #fff, #40.00a9.00ff, #1890.00ff
shapes: rect
elements: g
strokes: #40.00a9.00ff
text: none
keywords: radio, hover, checked, label, svg, viewBox, rx, width, height, fill."
../training_data_raw/components_ant/btn-dashed-nolabel-hover-lg.svg,"size: 40.00, colors: #fff, #1890.00ff, shapes: rect, path, elements: filter, feFlood, feColorMatrix, feOffset, feGaussianBlur, feBlend, strokes: stroke, stroke-dasharray, stroke-linecap, text: none."
../training_data_raw/components_ant/btn-danger-default-hover-lg.svg,"Size: 120x40, Colors: #fff, #ff4.00d4.00f, Shapes: rectangle with rounded corners, Elements: filter, stroke, Text: none."
../training_data_raw/components_ant/input-text-hover-sm.svg,"Size: 320x24, Colors: #fff, #1890.00ff, Shapes: rectangle, Elements: 2 groups, Strokes: #1890.00ff, Text: none."
../training_data_raw/components_ant/input-text-icon-focuslg.svg,"size, 320x40, white, blue, rectangle, rounded corners, input text, icon, focus, stroke, search icon."
../training_data_raw/components_ant/input-text-icon-hover-ph-sm.svg,"size: 320x24, colors: #fff, #1890.00ff, #bfbfbf, shapes: rectangle, path, elements: input text icon, strokes: #1890.00ff, text: none."
../training_data_raw/components_ant/input-text-icon-sm.svg,"size: 320x24, 
colors: #fff, #dbdbdb, 
shapes: rectangle, path, 
elements: input text icon, 
strokes: #dbdbdb, 
text: none."
../training_data_raw/components_ant/checkbox-tick-label.svg,"Size: 92.00,18.00
Colors: #1890.00ff, #fff
Shapes: rectangle, path
Elements: checkbox, tick, label
Strokes: #1890.00ff
Text: none"
../training_data_raw/components_ant/btn-danger-dashed-lg.svg,"Size: 120x40, Colors: #fff, #f5222.00d, Shapes: rectangle, Elements: filter, stroke-dasharray, stroke-linecap, Text: none."
../training_data_raw/components_ant/radio-checked-label.svg,"size: 66.10,18.00
colors: #fff, #1890.00ff
shapes: rect
elements: g
strokes: #1890.00ff
text: none
keywords: radio, checked, label, svg, viewBox, rect, rx, width, height, fill, stroke."
../training_data_raw/components_ant/btn-danger-dashed-hover-lg.svg,"Size: 120.00 x 40.00, Colors: #fff, #ff4.00d4.00f, Shapes: Rectangles with rounded corners, Elements: Filter, Stroke, Text: None."
../training_data_raw/components_ant/btn-default-hover-sm.svg,"Size: 120x24, Colors: #fff, #1890.00ff, Shapes: rectangle with rounded corners, Elements: filter, stroke, Text: none."
../training_data_raw/components_ant/btn-default-icon-sm.svg,"Size: 129x24, Colors: #fff, #dbdbdb, Shapes: rectangle, path, Elements: filter, defs, g, Strokes: #dbdbdb, Text: none."
../training_data_raw/components_ant/input-text-prefix-sm.svg,"size, 320x24, white, rectangle, rounded corners, stroke, gray, input field, prefix, SVG."
../training_data_raw/components_ant/btn-dashed-icon-hover-sm.svg,"Size: 129x24, Colors: white, #1890ff, Shapes: rectangle, path, Elements: filter, defs, g, Strokes: dashed, round, Text: none."
../training_data_raw/components_ant/btn-primary-nolabel-hover.svg,"Size: 32.00
Colors: #40.00a9.00ff, #fff
Shapes: rect, path
Elements: filter, defs, g
Strokes: none
Text: none"
../training_data_raw/components_ant/btn-primary-nolabel-lg.svg,"Size: 40.00
Colors: #1890.00ff, #fff
Shapes: rect, path
Elements: filter, defs, g
Strokes: none
Text: none"
../training_data_raw/components_ant/checkbox-inactive-label.svg,"Size: 92.00,18.00
Colors: #fff, #bfbfbf
Shapes: rect
Elements: g
Strokes: #bfbfbf
Text: none
Keywords: checkbox, inactive, label, svg, viewBox, rx, width, height, fill, stroke."
../training_data_raw/components_ant/btn-primary-nolabel-hover-sq-lg.svg,"rectangular, 40x40, blue, white, rounded corners, icon, arrow, no label, hover effect, filter."
../training_data_raw/components_ant/checkbox-inactive-label-checked.svg,"Size: 92.00,18.00
Colors: #fff, #bfbfbf, #1890.00ff
Shapes: rect, path
Elements: checkbox, label
Strokes: #bfbfbf
Text: none"
../training_data_raw/components_ant/btn-primary-lg.svg,"Size: 120x40, Colors: #1890ff, Shapes: Rectangle with rounded corners, Elements: SVG, Filter, Strokes: None, Text: None."
../training_data_raw/components_ant/btn-default-icon-hover-sm.svg,"Size: 129x24, Colors: #fff, #1890.00ff, Shapes: rectangle, path, Elements: filter, defs, g, Strokes: #1890.00ff, Text: none."
../training_data_raw/components_ant/menu-simple-light.svg,"Size: 250x300, Colors: white, #fafafa, Shapes: rectangles, Elements: menu items, strokes, text, Text: none."
../training_data_raw/components_ant/btn-danger-text.svg,"Size: 104.00,32.00
Colors: #b1.00b2.00b5.00
Shapes: Rect
Elements: g, rect
Strokes: None
Text: None"
../training_data_raw/components_ant/input-text-icons-focus-lg.svg,"size: 320x40, 
colors: #fff, #1890ff, #bfbfbf, 
shapes: rectangle, path, 
elements: filter, defs, g, 
strokes: #1890ff, 
text: none, 
icons: search icon."
../training_data_raw/components_ant/input-text-prefix.svg,"size, 320x32, white, rectangle, rounded corners, stroke, gray, SVG, viewBox, no text."
../training_data_raw/components_ant/btn-danger-default-hover.svg,"Size: 120x32, Colors: #fff, #ff4.00d4.00f, Shapes: rectangle with rounded corners, Elements: filter, stroke, Text: none."
../training_data_raw/components_ant/btn-dashed-icon-sm.svg,"Size: 129x24, Colors: white, gray, Shapes: rectangle, rounded corners, Elements: icon, Strokes: dashed, Text: none."
../training_data_raw/components_ant/alert-icon-text-close.svg,"size: 4.00e2.00,1.00e2.00, 
colors: #fff1.00f0.00, #ff4.00d4.00f, #8.00c8.00c8.00c, 
shapes: path, 
elements: g, 
strokes: stroke, 
text: none, 
keywords: alert, icon, close, alert-icon-text-close, SVG, viewBox."
../training_data_raw/components_ant/btn-tabs-icon.svg,"Size: 299x32
Colors: #fff, #dbdbdb, #000
Shapes: rectangle, path
Elements: filter, defs
Strokes: #dbdbdb
Text: none
Keywords: SVG, icon, tabs, filter, rectangle, path, strokes, colors, elements, size."
../training_data_raw/components_ant/input-text-prefix-hover.svg,"size, 320x32, white, rectangle, rounded corners, stroke, blue, hover effect, SVG, input text prefix."
../training_data_raw/components_ant/btn-danger.svg,"Size: 120.00 x 32.00, Colors: #f5222.00d, Shapes: Rectangular with rounded corners, Elements: Filter, Text, Strokes: None."
../training_data_raw/components_ant/input-text-icon-disabled-sm.svg,"size: 320x24, 
colors: #fafafa, #dbdbdb, #bfbfbf, 
shapes: rectangle, path, 
elements: input text, icon, 
strokes: yes, 
text: disabled."
../training_data_raw/components_ant/btn-primary-nolabel-hover-sq.svg,"Size: 32.00
Colors: #40.00a9.00ff, #fff
Shapes: rect, path
Elements: filter, defs, g
Strokes: none
Text: none"
../training_data_raw/components_ant/btn-default.svg,"Size: 120x32, Colors: #fff, #dbdbdb, Shapes: rectangle with rounded corners, Elements: filter, defs, rect, Strokes: #dbdbdb, Text: none."
../training_data_raw/components_ant/checkbox-inactive-checked.svg,"Size: 16.00
Colors: #fff, #bfbfbf, #1890.00ff
Shapes: rect, path
Elements: g
Strokes: #bfbfbf
Text: none
Keywords: checkbox, inactive, checked, svg, viewBox, rx, fill."
../training_data_raw/components_ant/btn-dashed-icon.svg,"Size: 129x32, Colors: white, gray, Shapes: rectangle, rounded corners, Elements: icon, Strokes: dashed, Text: none."
../training_data_raw/components_ant/btn-dashed-nolabel-sm.svg,"Size: 24.00
Colors: #fff, #dbdbdb
Shapes: rect, path
Elements: filter, feFlood, feColorMatrix, feOffset, feGaussianBlur, feBlend
Strokes: stroke, stroke-dasharray, stroke-linecap
Text: none
Keywords: dashed, no label, small, rounded corners, filter, stroke, path, rectangle, gray, white."
../training_data_raw/components_ant/input-text-prefix-disabled-lg.svg,"size: 320x40, 
colors: #fafafa, #dbdbdb, 
shapes: rectangle, 
elements: g, rect, svg, 
strokes: #dbdbdb, 
text: none."
../training_data_raw/components_ant/input-text-prefix-hover-lg.svg,"size: 320x40, 
colors: #fff, #1890.00ff, 
shapes: rectangle, 
elements: g, rect, svg, 
strokes: #1890.00ff, 
text: none."
../training_data_raw/components_ant/btn-actions-hover.svg,"Size: 114x32, Colors: #fff, #dbdbdb, #1890ff, Shapes: rectangle, path, Elements: filter, defs, g, Strokes: #dbdbdb, Text: none."
../training_data_raw/components_ant/input-text-disabled-sm.svg,"size: 320x24, colors: #fafafa, #dbdbdb, shapes: rectangle, elements: g, rect, strokes: #dbdbdb, text: none."
../training_data_raw/components_ant/input-text-icon-focus-sm.svg,"size: 320x24, 
colors: #fff, #1890.00ff, 
shapes: rectangle, path, 
elements: filter, defs, g, 
strokes: #1890.00ff, 
text: none, 
keywords: input, text, icon, focus, small, filter, rectangle, path, stroke, color."
../training_data_raw/components_ant/checkbox-label.svg,"Size: 92.00,18.00. Colors: #fff, #1890.00ff. Shapes: rect. Elements: g. Strokes: #1890.00ff. Text: none."
../training_data_raw/components_ant/input-text-icon-disabled.svg,"size, colors, shapes, elements, strokes, text, disabled, input, icon, rectangle, path, fill, stroke, viewBox, width, height, rx."
../training_data_raw/components_ant/btn-danger-text-lg.svg,"Size: 104.00 x 40.00, Colors: #b1.00b2.00b5.00, Shapes: Rectangle with rounded corners, Elements: SVG, Strokes: None, Text: ""btn-danger-text-lg"", Fill-opacity: 0.00."
../training_data_raw/components_ant/radio-hover-checked.svg,"size: 16.00 x 16.00, 
colors: #fff, #40.00a9.00ff, #1890.00ff, 
shapes: rectangle, 
elements: g, rect, 
strokes: #40.00a9.00ff, 
text: none."
../training_data_raw/components_ant/btn-dashed-sm.svg,"Size: 120x24, 
Colors: #fff, #dbdbdb, 
Shapes: rectangle, 
Elements: filter, stroke, 
Strokes: dashed, 
Text: none."
../training_data_raw/components_ant/radio-label.svg,"radio-label, SVG, viewBox, size, colors, shapes, elements, strokes, text, rect, rx, x, y, width, height, fill, none, stroke."
../training_data_raw/components_ant/btn-danger-sm.svg,"Size: 120x24, Colors: red, Shapes: rectangle, Elements: filter, Text: none."
../training_data_raw/components_ant/btn-primary-nolabel-sq-sm.svg,"rectangular, 24x24, blue, white, rounded corners, no stroke, icon, no text, filter, path."
../training_data_raw/components_ant/btn-primary-icon.svg,"Size: 129x32, Colors: #1890ff, #fff, Shapes: rectangle, path, Elements: filter, defs, g, Strokes: none, Text: none."
../training_data_raw/components_ant/input-text-icon-ph.svg,"size, 320x32, rectangle, rounded corners, white fill, gray stroke, search icon, text input, placeholder text, SVG format."
../training_data_raw/components_ant/radio-inactive-checked-label.svg,"Size: 66.10 x 18.00, Colors: #fff, #bfbfbf, #1890.00ff, Shapes: rectangle, rounded rectangle, Elements: 3 groups, Strokes: #bfbfbf, Text: none."
../training_data_raw/components_ant/input-text-icon-ph-lg.svg,"size, colors, shapes, elements, strokes, text, rectangle, icon, placeholder, input field, gray, white, stroke color, search icon, text input."
../training_data_raw/components_ant/btn-danger-text-hover-lg.svg,"Size: 104.00 x 40.00, Colors: #fafafa, Shapes: Rectangle with rounded corners, Elements: None, Strokes: None, Text: None, Hover effect: Danger (red) text."
../training_data_raw/components_ant/btn-primary-hover-lg.svg,"Size: 120.00 x 40.00, Colors: #4000a9ff, Shapes: Rectangular with rounded corners, Elements: SVG, Filter, Strokes: None, Text: None."
../training_data_raw/components_ant/btn-danger-default-sm.svg,"Size: 120x24, Colors: #fff, #f5222.00d, Shapes: rectangle with rounded corners, Elements: filter, feFlood, feColorMatrix, feOffset, feGaussianBlur, feBlend, Strokes: #f5222.00d, Text: none."
